16:34:49.512 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:49.730 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:49.953 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:50.171 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:50.389 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:50.608 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:50.827 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:51.046 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:51.263 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:51.482 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:51.699 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:51.919 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:52.138 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:52.357 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:52.574 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:52.792 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:53.011 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:53.230 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:53.446 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:53.665 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:53.884 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:54.102 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:54.319 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:54.551 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:54.770 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:54.988 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:55.209 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:55.427 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:55.644 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:55.861 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:56.080 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:56.299 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:56.516 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:56.734 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:56.950 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:57.169 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:57.389 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:57.607 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:57.825 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:58.042 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:58.259 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:58.479 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:58.699 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:58.916 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:59.135 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:59.353 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:59.570 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:34:59.791 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:00.009 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:00.227 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:00.446 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:00.663 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:00.882 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:01.101 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:01.321 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:01.553 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:01.772 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:01.990 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:02.208 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:02.427 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:27.264 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:27.483 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:27.702 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:27.919 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.139 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.358 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.576 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.795 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.012 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.230 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.449 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.667 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
